abar_sp_star,abar_sp_star_runtime,amean_sp_star,amean_sp_star_runtime,analytic_gap_clip,analytic_saturation_rate,c_star,c_star_runtime,candidate_token,clean_count,cmean_sp_star,cmean_sp_star_runtime,delta_g,delta_g_ref_minus_src_prefix,delta_g_ref_minus_src_utt,drop_edge_runs_for_g,edge_runs_dropped,error,fetch_index,g_domain_valid,g_ref,g_ref_status,g_src_prefix_mean,g_src_status,g_src_utt,pair_id,prompt_ref_len_sec,prompt_speech_ratio,protocol_misaligned,protocol_slice,ref_item_name,ref_len_valid,ref_spk,same_speaker_reference,same_speaker_target,same_text_reference,same_text_target,sample_id,speech_ratio_valid,split,src_id,src_item_name,src_prefix_stat_mode,src_spk,support_count,support_domain_valid,support_fraction,support_seed_count,tgt_item_name,tgt_spk,zbar_sp_star,zmean_sp_star
0.9808292388916016,0.3499999940395355,0.9808292296641994,0.34999999366129453,0.35,1.0,-0.9808292388916016,-0.3499999940395355,57,11.0,-1.2244649494729636,-0.5936357002644223,0.8369882106781006,0.9808293581008911,0.8369882106781006,1,2.0,,0,1,2.079441547393799,ok,1.0986121892929077,ok,1.2424533367156982,0,5.239999771118164,0.8015267252922058,1,cross_text_prompt_vs_cross_speaker_target,aba_train_arctic_a0017,1,aba,1,0,0,1,,1,train,,aba_train_arctic_a0016,exact_global_family,aba,9.0,1.0,0.3214285671710968,11.0,bdl_train_arctic_a0016,bdl,0.0,-0.2436356900960822
-0.0034842491149902344,-0.0034842491149902344,0.10627506743088636,0.10627506743088636,0.35,0.0,0.4089493751525879,0.4089493751525879,57,8.0,-0.2341795035011748,-0.2341795035011748,0.8719844818115234,0.1115884780883789,0.8719844818115234,1,2.0,,1,1,2.4814224243164062,ok,2.3698339462280273,ok,1.6094379425048828,1,5.71999979019165,0.7692307829856873,1,cross_text_prompt_vs_cross_speaker_target,aba_train_arctic_a0016,1,aba,1,0,0,1,,1,train,,aba_train_arctic_a0017,exact_global_family,aba,6.0,1.0,0.1875,8.0,bdl_train_arctic_a0017,bdl,0.40546512603759766,-0.12790444118371083
0.0835270881652832,0.0835270881652832,0.08352708838197541,0.08352708838197541,0.35,0.0,-0.9308249950408936,-0.9308249950408936,57,8.0,-0.17607064515985354,-0.17607064515985354,1.095128059387207,0.0835268497467041,1.095128059387207,1,2.0,,2,1,2.4814224243164062,ok,2.397895574569702,ok,1.3862943649291992,2,5.71999979019165,0.7692307829856873,1,cross_text_prompt_vs_cross_speaker_target,aba_train_arctic_a0016,1,aba,1,0,0,1,,1,train,,aba_train_arctic_a0019,exact_global_family,aba,6.0,1.0,0.1875,8.0,bdl_train_arctic_a0019,bdl,-0.8472979068756104,-0.09254357255156802
-1.015085220336914,-0.3499999940395355,-1.0150852182741763,-0.3499999929958372,0.35,1.0,0.1677873134613037,-0.49729791283607483,57,8.0,0.9801237893265649,0.31503854175488344,1.5855426788330078,-1.015085220336914,1.5855426788330078,1,2.0,,3,1,2.4814224243164062,ok,3.4965076446533203,ok,0.8958797454833984,3,5.71999979019165,0.7692307829856873,1,cross_text_prompt_vs_cross_speaker_target,aba_train_arctic_a0016,1,aba,1,0,0,1,,1,train,,aba_train_arctic_a0020,exact_global_family,aba,6.0,1.0,0.1875,8.0,bdl_train_arctic_a0020,bdl,-0.8472979068756104,-0.034961442161483405
0.6896629333496094,0.3499999940395355,1.124873802780272,0.34999999352787353,0.35,1.0,-0.7897465229034424,-0.3499999940395355,57,8.0,-0.8567170483493827,-0.08184323909698414,1.382810115814209,1.1650992631912231,1.382810115814209,1,2.0,,4,1,2.4814224243164062,ok,1.316323161125183,ok,1.0986123085021973,4,5.71999979019165,0.7692307829856873,1,cross_text_prompt_vs_cross_speaker_target,aba_train_arctic_a0016,1,aba,1,0,0,1,,1,train,,aba_train_arctic_a0022,exact_global_family,aba,6.0,1.0,0.1875,8.0,bdl_train_arctic_a0022,bdl,0.0,0.2681567576091658
0.6896629333496094,0.3499999940395355,0.47022388543209626,0.10213581194485899,0.35,0.7435897435897436,-0.5355122089385986,-0.3499999940395355,57,8.0,-0.7304200927314073,-0.3623320091615146,1.095128059387207,0.5689965486526489,1.095128059387207,1,2.0,,5,1,2.4814224243164062,ok,1.9124258756637573,ok,1.3862943649291992,5,5.71999979019165,0.7692307829856873,1,cross_text_prompt_vs_cross_speaker_target,aba_train_arctic_a0016,1,aba,1,0,0,1,,1,train,,aba_train_arctic_a0023,exact_global_family,aba,6.0,1.0,0.1875,8.0,bdl_train_arctic_a0023,bdl,-0.2231435775756836,-0.2601961983927612
0.5355122089385986,0.3499999940395355,1.0998244645507536,0.3249726457619371,0.35,0.9393939393939394,-0.5355122089385986,-0.3499999940395355,57,8.0,-1.1596329343546476,-0.38478110776534963,1.382810115814209,1.0955790281295776,1.382810115814209,1,2.0,,6,1,2.4814224243164062,ok,1.3858433961868286,ok,1.0986123085021973,6,5.71999979019165,0.7692307829856873,1,cross_text_prompt_vs_cross_speaker_target,aba_train_arctic_a0016,1,aba,1,0,0,1,,1,train,,aba_train_arctic_a0024,exact_global_family,aba,6.0,1.0,0.1875,8.0,bdl_train_arctic_a0024,bdl,0.0,-0.05980846200341254
1.382810115814209,0.3499999940395355,1.4264694928366386,0.34999999182289804,0.35,1.0,-1.4399685859680176,-0.3499999940395355,57,8.0,-1.5598204887101583,-0.4833509666246552,0.6896629333496094,1.4119951725006104,0.6896629333496094,1,2.0,,7,1,2.4814224243164062,ok,1.069427251815796,ok,1.7917594909667969,7,5.71999979019165,0.7692307829856873,1,cross_text_prompt_vs_cross_speaker_target,aba_train_arctic_a0016,1,aba,1,0,0,1,,1,train,,aba_train_arctic_a0027,exact_global_family,aba,6.0,1.0,0.1875,8.0,bdl_train_arctic_a0027,bdl,0.0,-0.13335099587351987
0.1873466968536377,0.1873466968536377,0.25098220250610814,0.19531303091860702,0.35,0.06896551724137931,-0.1873466968536377,-0.1873466968536377,57,10.0,-0.39492469752255305,-0.33925552433517164,1.4866297245025635,0.27695274353027344,1.4866297245025635,1,2.0,,8,1,2.5852420330047607,ok,2.3082892894744873,ok,1.0986123085021973,0,3.9600000381469727,0.8383838534355164,1,cross_text_prompt_vs_cross_speaker_target,asi_train_arctic_a0017,1,asi,1,0,0,1,,1,train,,asi_train_arctic_a0016,exact_global_family,asi,8.0,1.0,0.21621622145175934,10.0,bdl_train_arctic_a0016,bdl,0.0,-0.14394250301584632
0.8472979068756104,0.3499999940395355,0.8472979119052548,0.34999999444631363,0.35,1.0,-0.22825884819030762,0.2690390646457672,57,9.0,-0.21092918208195163,0.286368731674532,0.8472979068756104,0.8472980260848999,0.8472979068756104,1,2.0,,9,1,1.9459102153778076,ok,1.0986121892929077,ok,1.0986123085021973,1,3.9600000381469727,0.8333333134651184,1,cross_text_prompt_vs_cross_speaker_target,asi_train_arctic_a0016,1,asi,1,0,0,1,,1,train,,asi_train_arctic_a0017,exact_global_family,asi,7.0,1.0,0.21875,9.0,bdl_train_arctic_a0017,bdl,0.6190390586853027,0.6363687378452946
